parameter,S1_mean,S1_CI_lower,S1_CI_upper,ST_mean,ST_CI_lower,ST_CI_upper
Ken,0.060409334977637,0.024625610869737757,0.10052667413115753,0.12470183213525546,0.06475120192181616,0.19155507927705082
Km1,0.06422796425248761,0.055533174796119536,0.07419643875405353,0.136792422054588,0.09909497419201659,0.17178790029316093
Km2,0.04553214633670657,0.041266962222990075,0.049057681280015454,0.3121843643443182,0.1289480561591037,0.647603523836071
Tmax,0.1382723262823035,0.09902606695269572,0.17722958742765962,0.244224949804014,0.18087859920928095,0.3012694783633594
kAB,0.01159524089307491,0.008009797660121018,0.015111757274008266,0.06116696167073899,0.030862253579290125,0.08854324660275305
kAN,0.0067949548438458185,0.003291206118856265,0.009960211503954729,0.05386986375474241,0.022620613926674978,0.09900911987232448
kAOH,0.035262301180546574,0.031208496500053477,0.038603394071901755,0.1188518557813095,0.07539581174429329,0.16689137279722513
kNH,0.002840984198053363,-0.00011192394693418363,0.006465602319525255,0.019580396243389635,0.005726839770822714,0.034268733588708106
kcat1,0.3526851692744895,0.3107201619109485,0.39857064911073353,0.48375594319392634,0.4344992454396674,0.5344746765907804
kcat2,0.03917810943816698,0.026374579161178947,0.05226986938965953,0.17069812392644676,0.13797287105044287,0.2045147862847227
