parameter,S1_mean,S1_CI_lower,S1_CI_upper,ST_mean,ST_CI_lower,ST_CI_upper
Ken,0.06101603117107654,0.05858391891934896,0.06343635827378155,0.12597910436463283,0.12197743914192719,0.12993713415746308
Km1,0.06444424369332451,0.06286342421529074,0.06602180181198385,0.13742837854429893,0.13487178623184987,0.13998583197629585
Km2,0.04554970518579527,0.044051174805090756,0.04702677426257882,0.31297056907035425,0.28746285585570763,0.34032949316559574
Tmax,0.13788811695773992,0.13414697381998827,0.14154401155766183,0.2442980320751747,0.23891606354643646,0.2501103627580476
kAB,0.011629616112642086,0.011216349274200491,0.012091116170893902,0.061899462513263025,0.059043837474416085,0.06505428164968681
kAN,0.006769439922769594,0.00646267564477687,0.007080464937563664,0.053617771505069134,0.050920241449019334,0.0565120865060063
kAOH,0.03528992210540207,0.03419776887902967,0.03649635497214054,0.11814979001710813,0.11399239854918536,0.12207561800160469
kNH,0.0028935061644961616,0.0027268270712429623,0.003073567317937055,0.019262637857873504,0.018268797020532045,0.02029512238206203
kcat1,0.3523933668812732,0.34433144763079654,0.36045005326807084,0.48299930559009646,0.47280052364327085,0.4959458786501149
kcat2,0.03936565703813046,0.03774693329113311,0.04102402875057256,0.17136849761086853,0.15954820740678013,0.1853053682729009
