output,time,parameter,S1,ST
CAB,0,kcat1,,
CAB,0,kcat2,,
CAB,0,Km1,,
CAB,0,Km2,,
CAB,0,Tmax,,
CAB,0,Ken,,
CAB,0,kAB,,
CAB,0,kAN,,
CAB,0,kAOH,,
CAB,0,kNH,,
CAB,1,kcat1,0.791317383536191,2.750798663915834
CAB,1,kcat2,0.013728955849754303,3.5884614996998514
CAB,1,Km1,0.05810300430318429,0.20438239354078871
CAB,1,Km2,-0.013594449980261132,1.7687569331926263
CAB,1,Tmax,0.010716019803230399,0.6036431346612988
CAB,1,Ken,-0.0003468240017031358,5.1067583186202696e-05
CAB,1,kAB,-0.005014591849876961,0.9144028104346683
CAB,1,kAN,-0.004211889068138676,0.1215514120674951
CAB,1,kAOH,-0.002129146151039844,0.12363439333973758
CAB,1,kNH,-3.149124891370006e-08,2.967122360358249e-10
CAB,2,kcat1,0.8268459124176338,1.4200987731033956
CAB,2,kcat2,0.004055728224748489,0.9523862035538143
CAB,2,Km1,0.065571168343344,0.16099014596221403
CAB,2,Km2,-0.008928359017263065,0.4720658193081059
CAB,2,Tmax,0.003091416504051876,0.18206050836765567
CAB,2,Ken,-0.00044764421154172416,0.00010806892812148019
CAB,2,kAB,-0.004726768598553959,0.25931910039669265
CAB,2,kAN,-0.004607026337930383,0.06830198134006522
CAB,2,kAOH,-0.0009751291336532979,0.07243311896876757
CAB,2,kNH,-3.4582591400244043e-07,3.6124928618299987e-09
CAB,3,kcat1,0.843871291676635,1.145230960638606
CAB,3,kcat2,0.0014697818551742483,0.4299416841442578
CAB,3,Km1,0.07209608722979971,0.13953452995863128
CAB,3,Km2,-0.006694107187587824,0.21405007200885143
CAB,3,Tmax,0.0012191970787087305,0.08629903719462195
CAB,3,Ken,-0.0005017663988516547,0.00016153120231207486
CAB,3,kAB,-0.003927259714040812,0.12004219183736259
CAB,3,kAN,-0.0037528940534585823,0.04016867002148534
CAB,3,kAOH,0.0012802316813250514,0.04621077535604703
CAB,3,kNH,-9.254863332777138e-07,1.4911257572693993e-08
CAB,4,kcat1,0.8489089434025967,1.0395087292961582
CAB,4,kcat2,0.0005030659333469326,0.23968615836461413
CAB,4,Km1,0.07734692035335071,0.13091108085990544
CAB,4,Km2,-0.005255959141444568,0.11984049316304961
CAB,4,Tmax,0.0005863435265202449,0.048953851511094805
CAB,4,Ken,-0.0005335399812804795,0.0002105449928995255
CAB,4,kAB,-0.0031989873890302684,0.06732724090570007
CAB,4,kAN,-0.002765251324724995,0.026576959488667475
CAB,4,kAOH,0.0035610945515677124,0.03441249550946735
CAB,4,kNH,-1.8753083771262181e-06,3.70406635099935e-08
CAB,5,kcat1,0.8482944767356303,0.9860311813418582
CAB,5,kcat2,5.3358959316788184e-05,0.15021462160687077
CAB,5,Km1,0.0817706913686132,0.12824306433545102
CAB,5,Km2,-0.00426914031677714,0.07543773971092617
CAB,5,Tmax,0.0003166991968203313,0.0309244044736415
CAB,5,Ken,-0.0005526943693180542,0.0002554030947444647
CAB,5,kAB,-0.0026327241717993993,0.04209049419355695
CAB,5,kAN,-0.0018597410879561387,0.01974525966124015
CAB,5,kAOH,0.00567987430437139,0.0292742729207682
CAB,5,kNH,-3.0858459388599927e-06,7.15002631926766e-08
CAB,6,kcat1,0.8450110340796844,0.9540542693515985
CAB,6,kcat2,-0.00018992892514931102,0.10148095484860226
CAB,6,Km1,0.08567716315207001,0.12841859933900393
CAB,6,Km2,-0.003559653393021962,0.05120008903644114
CAB,6,Tmax,0.0001769792752460024,0.02105558832689883
CAB,6,Ken,-0.0005645304236321764,0.00029645887428457045
CAB,6,kAB,-0.002199291694024856,0.02823769045609884
CAB,6,kAN,-0.0010535441750408629,0.016171329226828547
CAB,6,kAOH,0.007635991060369173,0.02730799337229904
CAB,6,kNH,-4.460018307970799e-06,1.1970583599840802e-07
CAB,7,kcat1,0.8404276778398366,0.9325693632897151
CAB,7,kcat2,-0.00033551422754350127,0.07223319433280004
