output,parameter,S1,ST
CAB,Ken,-0.002328459226075138,0.02903336243361467
CAB,Km1,0.1210314532256218,0.20864450044003618
CAB,Km2,0.0004588976429166557,0.04589245389297319
CAB,Tmax,-0.0008231576881163233,0.050182508043693
CAB,kAB,0.0017828401884238537,0.052033127821350396
CAB,kAN,0.015238651812015619,0.05005766271995053
CAB,kAOH,0.0669884683740125,0.13137936269697614
CAB,kNH,0.0011328638977651862,0.012651036198687144
CAB,kcat1,0.6516123426895507,0.7543991631429259
CAB,kcat2,-0.0035650409133832204,0.08602945682560716
CAN,Ken,0.12196031009893289,0.21767483611854047
CAN,Km1,0.014052873134389682,0.06966549725794458
CAN,Km2,0.08634032793177415,0.5491105012550901
CAN,Tmax,0.25499246163034545,0.40341664257681137
CAN,kAB,0.022325961975958052,0.064940112982665
CAN,kAN,0.0008432542928622465,0.05127034720366324
CAN,kAOH,0.0021373332664956306,0.09593962000496163
CAN,kNH,0.004218902805555485,0.025674267528820703
CAN,kcat1,0.09803802150098095,0.23414246252505727
CAN,kcat2,0.08033494381709665,0.21768286499020506
CAOH,Ken,0.0037450277623866835,0.042264877433038105
CAOH,Km1,0.11240582808713297,0.18405653193354723
CAOH,Km2,0.013797011990163121,0.06594659989967921
CAOH,Tmax,0.05166938880730329,0.11012455332517984
CAOH,kAB,0.004218686117948978,0.04556820206255043
CAOH,kAN,0.012945969059160498,0.04268266055149882
CAOH,kAOH,0.07287738768771215,0.13678017964034678
CAOH,kNH,0.002185500023845514,0.013678371121819443
CAOH,kcat1,0.5699689939663238,0.6655110590049172
CAOH,kcat2,0.006195649488323569,0.08172181967517267
CNH,Ken,0.12156703352068304,0.21655886847130618
CNH,Km1,0.01072018406778906,0.0866979442975146
CNH,Km2,0.08195645082113598,0.5910286212040308
CNH,Tmax,0.24703958657037886,0.4140256797257616
CNH,kAB,0.018338277962600867,0.08390463681287388
CNH,kAN,-0.0019074335014587702,0.06918257448152204
CNH,kAOH,-0.0005905886175082812,0.10800627115650517
CNH,kNH,0.004049483620346515,0.02523580111090912
CNH,kcat1,0.09212191117958853,0.27817070660228027
CNH,kcat2,0.07471904976299398,0.2975403472671207
