initial_condition,parameter,S1,ST
30_05,Ken,0.11478098009952348,0.2598000411381881
30_05,Km1,0.06131019762250609,0.14054228059640178
30_05,Km2,0.051388358349759945,1.0158775496201493
30_05,Tmax,0.07394937724709866,0.1632119713000466
30_05,kAB,0.0044861525190649145,0.05614589817909971
30_05,kAN,0.002010804638705543,0.031302116709788115
30_05,kAOH,0.03714258502741412,0.16281063678882385
30_05,kNH,-0.0013074879025537247,0.04895281889159467
30_05,kcat1,0.3034915949637482,0.47547560456378224
30_05,kcat2,0.035741257303758205,0.17971122119828034
30_30,Ken,0.03534772215786281,0.09302769516763629
30_30,Km1,0.06908385929215113,0.18693711473551017
30_30,Km2,0.048436305659703235,0.27986625657614095
30_30,Tmax,0.12410275665829279,0.25512620103055755
30_30,kAB,0.01069257168245498,0.09570427972647501
30_30,kAN,0.01052457790607561,0.14314858126484126
30_30,kAOH,0.037759694993123094,0.1277787818232181
30_30,kNH,0.004159951465300374,0.008845695999547909
30_30,kcat1,0.2947558602858483,0.38733084837382664
30_30,kcat2,0.056222952349642655,0.22740257561229585
40_100,Ken,0.012759275262263597,0.055065155554776195
40_100,Km1,0.06363377471131566,0.17364989060965827
40_100,Km2,0.048202235793584486,0.1700103599007766
40_100,Tmax,0.18590864716777938,0.34741275569616115
40_100,kAB,0.01377832868672139,0.09220949425325846
40_100,kAN,0.008237227096688336,0.07371148257542852
40_100,kAOH,0.028576506345299242,0.19609496872872514
40_100,kNH,0.009915033194523687,0.033130736094951284
40_100,kcat1,0.33391582723150715,0.5274884257681152
40_100,kcat2,0.0528407966850706,0.20542594792613617
40_22,Ken,0.05707601938480651,0.1372457891613024
40_22,Km1,0.0847591027967914,0.15531809310460165
40_22,Km2,0.04342114873359533,0.18612110913367136
40_22,Tmax,0.12973747453472648,0.25198133128442446
40_22,kAB,0.01777575106237996,0.0777159658285257
40_22,kAN,0.007092404706915582,0.02999473917615322
40_22,kAOH,0.03792822161319964,0.09131182401063628
40_22,kNH,0.0032405081228931857,0.016603214024348164
40_22,kcat1,0.3409961665210168,0.45857424298878874
40_22,kcat2,0.04774585913426535,0.1376661059319665
80_05,Ken,0.12221478644026158,0.1655202320296478
80_05,Km1,0.04975615196973299,0.07603147668556472
80_05,Km2,0.045079694174595265,0.09519248515995368
80_05,Tmax,0.10652834027833658,0.15210528580647764
80_05,kAB,0.00989544175914538,0.019400365008048454
80_05,kAN,0.0018053239892225304,0.007881217292937972
80_05,kAOH,0.039800104060062264,0.07729207667675916
80_05,kNH,0.00060204950878025,0.002024078489544518
80_05,kcat1,0.4238632273757088,0.4840167928995448
80_05,kcat2,0.01611178466688165,0.14016016842290793
80_60,Ken,0.024625610869737757,0.046160755043036
80_60,Km1,0.057931291814974625,0.09174797727164323
80_60,Km2,0.03673150697962194,0.1289480561591037
80_60,Tmax,0.2072890209030217,0.29600280323374945
80_60,kAB,0.013221184686703694,0.03011400292208912
80_60,kAN,0.010914042514769899,0.03546827792229211
80_60,kAOH,0.030482730680985587,0.05379100468055261
80_60,kNH,0.0007282305437654556,0.006018792297099214
80_60,kcat1,0.4163654154656673,0.5644171775717686
80_60,kcat2,0.027314589455607136,0.13687922236421035
