initial_condition,time,output,parameter,S1,ST
80_60,0,0,kcat1,0.0,0.0
80_60,0,0,kcat2,0.0,0.0
80_60,0,0,Km1,0.0,0.0
80_60,0,0,Km2,0.0,0.0
80_60,0,0,Tmax,0.0,0.0
80_60,0,0,Ken,0.0,0.0
80_60,0,0,kAB,0.0,0.0
80_60,0,0,kAN,0.0,0.0
80_60,0,0,kAOH,0.0,0.0
80_60,0,0,kNH,0.0,0.0
80_60,0,1,kcat1,,
80_60,0,1,kcat2,,
80_60,0,1,Km1,,
80_60,0,1,Km2,,
80_60,0,1,Tmax,,
80_60,0,1,Ken,,
80_60,0,1,kAB,,
80_60,0,1,kAN,,
80_60,0,1,kAOH,,
80_60,0,1,kNH,,
80_60,0,2,kcat1,0.0,0.0
80_60,0,2,kcat2,0.0,0.0
80_60,0,2,Km1,0.0,0.0
80_60,0,2,Km2,0.0,0.0
80_60,0,2,Tmax,0.0,0.0
80_60,0,2,Ken,0.0,0.0
80_60,0,2,kAB,0.0,0.0
80_60,0,2,kAN,0.0,0.0
80_60,0,2,kAOH,0.0,0.0
80_60,0,2,kNH,0.0,0.0
80_60,0,3,kcat1,,
80_60,0,3,kcat2,,
80_60,0,3,Km1,,
80_60,0,3,Km2,,
80_60,0,3,Tmax,,
80_60,0,3,Ken,,
80_60,0,3,kAB,,
80_60,0,3,kAN,,
80_60,0,3,kAOH,,
80_60,0,3,kNH,,
80_60,1,0,kcat1,0.9910952295315545,11.134713361949311
80_60,1,0,kcat2,-0.007883581823351665,9.98985310326424
80_60,1,0,Km1,0.02694104542474742,0.03632080575149103
80_60,1,0,Km2,-0.06050907338423126,9.888530085071267
80_60,1,0,Tmax,0.00019841333243068485,0.00028064535543347827
80_60,1,0,Ken,-0.00019855262365409308,2.1137040431361185e-05
80_60,1,0,kAB,5.1828294409648635e-06,2.1001988093859553e-08
80_60,1,0,kAN,-0.0008005196972803009,0.0012899637195877992
80_60,1,0,kAOH,0.0010512919041757935,0.002022754866197873
80_60,1,0,kNH,2.0926030379894314e-08,1.3648928878746389e-10
80_60,1,1,kcat1,0.3784838988130175,0.5220785684576967
80_60,1,1,kcat2,0.00030091298961529517,0.0005069747986115465
80_60,1,1,Km1,0.011573283282787797,0.020885558519930486
80_60,1,1,Km2,0.0010211062878735177,0.0015858203483145046
80_60,1,1,Tmax,0.4035159911395295,0.5522129923185412
80_60,1,1,Ken,0.041401436438790594,0.07028216380349268
80_60,1,1,kAB,0.00047453779979184205,0.00020869040701685193
80_60,1,1,kAN,-0.00043918127528686326,0.0010766821053865413
80_60,1,1,kAOH,-0.00031391489793873323,0.0005315089933719832
80_60,1,1,kNH,-5.013924112615536e-05,1.1895353789627879e-05
80_60,1,2,kcat1,0.3835542131654192,18.095043245609826
80_60,1,2,kcat2,-0.10186798996101933,17.576963656933277
80_60,1,2,Km1,0.011591487105965557,0.02088555851993061
80_60,1,2,Km2,-0.08918870090069107,17.625767976089946
80_60,1,2,Tmax,0.4035227006135217,0.5522129923185413
80_60,1,2,Ken,0.04140589825104436,0.07028216380349282
80_60,1,2,kAB,0.0004767064328576848,0.00020869040701685927
80_60,1,2,kAN,-0.0004317223801966848,0.0010766821053865472
80_60,1,2,kAOH,-0.00032333931715167836,0.0005315089933719982
80_60,1,2,kNH,-4.8749848378507525e-05,1.1895353789629251e-05
80_60,1,3,kcat1,0.6473833256025856,0.7303924604074105
80_60,1,3,kcat2,-0.0015112487076683469,0.001825632963769226
80_60,1,3,Km1,0.01691155549335476,0.027095385938163415
80_60,1,3,Km2,0.0011897253056769505,0.005009524155231629
80_60,1,3,Tmax,0.21476571320623944,0.2964362547610124
80_60,1,3,Ken,0.01974479730307919,0.03749838110628567
80_60,1,3,kAB,-0.00012543935646603608,0.0001103763521370925
80_60,1,3,kAN,-0.0005789630359879539,0.0006105344988359978
80_60,1,3,kAOH,0.001689857806042378,0.002007545827841368
80_60,1,3,kNH,-5.0679762079092445e-05,6.342164273791563e-06
80_60,2,0,kcat1,0.9687253380657058,3.5382701419732667
80_60,2,0,kcat2,-0.00413519026181818,2.4860771089496962
80_60,2,0,Km1,0.029350936344778727,0.03986378048192868
80_60,2,0,Km2,-0.02969466893211696,2.43520812732823
80_60,2,0,Tmax,0.0001711336026134686,0.0005976180662053878
80_60,2,0,Ken,-0.0002486531094441079,4.790911731556098e-05
80_60,2,0,kAB,8.752827375014936e-06,1.0257380151314755e-07
80_60,2,0,kAN,-0.000580465841298316,0.0027541424034349896
80_60,2,0,kAOH,0.002014625704401267,0.00426869142068915
80_60,2,0,kNH,-5.584912150428877e-08,1.2672660060817643e-09
80_60,2,1,kcat1,0.37453226970079895,0.5173812912566447
80_60,2,1,kcat2,0.00012184691302931728,0.0010545574859689782
80_60,2,1,Km1,0.012522136200693687,0.022750322034583267
80_60,2,1,Km2,0.0019270404262143159,0.003283303363097293
80_60,2,1,Tmax,0.40190056510824346,0.5513529644401128
80_60,2,1,Ken,0.041478388245406624,0.0704499248739648
80_60,2,1,kAB,0.0005493441275318728,0.0004608716022578867
80_60,2,1,kAN,-0.0005106922242305483,0.002424388136512252
80_60,2,1,kAOH,-0.00034090576663192755,0.001281736529293746
80_60,2,1,kNH,-0.00012957379111023213,2.7953116795045215e-05
80_60,2,2,kcat1,0.3788737430013779,5.028831210685382
80_60,2,2,kcat2,-0.0513704264836912,4.514349486600616
80_60,2,2,Km1,0.012529905462404942,0.02275032203458332
80_60,2,2,Km2,-0.042813307012659715,4.541037428674858
80_60,2,2,Tmax,0.4018999286371553,0.5513529644401133
80_60,2,2,Ken,0.0414817173169755,0.07044992487396493
80_60,2,2,kAB,0.0005505141265599469,0.0004608716022578893
80_60,2,2,kAN,-0.0005040380271024421,0.0024243881365122516
80_60,2,2,kAOH,-0.00034746917017466894,0.0012817365292937483
80_60,2,2,kNH,-0.00012902825695315946,2.795311679504811e-05
80_60,2,3,kcat1,0.6451275976297413,0.7286682349785751
80_60,2,3,kcat2,-0.0021170146321471683,0.002134134444358558
80_60,2,3,Km1,0.01875927493248503,0.029926931628204825
80_60,2,3,Km2,0.001714958339511381,0.00594976812355744
80_60,2,3,Tmax,0.21227957269037082,0.29306621893380974
80_60,2,3,Ken,0.01952193897730816,0.03707807232268607
80_60,2,3,kAB,-0.00025862494129075535,0.00023967743130829487
80_60,2,3,kAN,-0.0004308424936292409,0.0012975513784405064
80_60,2,3,kAOH,0.0028137946287752095,0.004088746720622544
80_60,2,3,kNH,-2.7482322091764933e-05,1.4708547774712653e-05
80_60,3,0,kcat1,0.956642224734555,2.1154921755509926
80_60,3,0,kcat2,-0.0031084109131233545,1.097283040432744
80_60,3,0,Km1,0.03151822168617851,0.043015704422567115
80_60,3,0,Km2,-0.01965248016551766,1.0633103628980436
80_60,3,0,Tmax,0.00015121181299840118,0.0008923861250447712
80_60,3,0,Ken,-0.00026614228686245293,7.438554151941381e-05
80_60,3,0,kAB,1.125631811576832e-05,2.577794985038399e-07
80_60,3,0,kAN,-0.0001529387852269879,0.0041458875266301
80_60,3,0,kAOH,0.003037221165162181,0.006454363336671017
80_60,3,0,kNH,-2.637210088326666e-07,4.896104199959265e-09
80_60,3,1,kcat1,0.37101963477243904,0.513281786062214
80_60,3,1,kcat2,-4.2960252351705e-05,0.0016265334719569584
80_60,3,1,Km1,0.013432595865100913,0.024296921535527857
80_60,3,1,Km2,0.002674938603826804,0.004936088983803114
80_60,3,1,Tmax,0.4006154022000237,0.5505461209788469
80_60,3,1,Ken,0.04155529481610258,0.07064960585779184
80_60,3,1,kAB,0.0005462534530872824,0.0007058942609882657
