output,time,parameter,S1,ST
CAB,0,k2,,
CAB,0,k3,,
CAB,0,k4,,
CAB,0,k5,,
CAB,0,KS,,
CAB,0,KP,,
CAB,0,KN,,
CAB,0,kmenos4,,
CAB,1,k2,0.057525887105981326,0.1726760430489145
CAB,1,k3,-2.5456150143923144e-05,0.00044325523415736026
CAB,1,k4,-0.0001608450507449437,0.00025947719580811564
CAB,1,k5,-1.20459761988981e-05,1.1998225846769093e-05
CAB,1,KS,0.826303809681626,0.9277888784510684
CAB,1,KP,-0.002771077920884855,0.005303105562159883
CAB,1,KN,-6.802061942672756e-05,0.00023190595546828077
CAB,1,kmenos4,-0.00028160691016192906,0.0008504311316251223
CAB,2,k2,0.08732158703729899,0.1926283606322067
CAB,2,k3,1.8177049105736996e-05,0.0013104399170775684
CAB,2,k4,-0.00036903516712895285,0.0009655144966414299
CAB,2,k5,-3.128852536977005e-05,5.1150109900848164e-05
CAB,2,KS,0.8044769946411853,0.9013498767700154
CAB,2,KP,-0.0019204915293307128,0.012590181122440066
CAB,2,KN,-6.21738106885466e-05,0.0009014593024043214
CAB,2,kmenos4,-1.3863598754721855e-05,0.0020193363627638745
CAB,3,k2,0.10792294895393983,0.20832015826723124
CAB,3,k3,8.909997156645796e-05,0.0025055203519245323
CAB,3,k4,-0.0004445837134964286,0.002013950012411709
CAB,3,k5,-7.600523000083332e-05,0.00010947139523362021
CAB,3,KS,0.7781605432608463,0.876231663784511
CAB,3,KP,-0.00021908589889704195,0.021192343614059056
CAB,3,KN,-6.999773490040284e-05,0.0018689363514415387
CAB,3,kmenos4,0.0005219794927119529,0.003618141307172806
CAB,4,k2,0.12389538627645669,0.22163355035893495
CAB,4,k3,0.00021624290289006917,0.003953756516823407
CAB,4,k4,-0.0004029774110427759,0.003359024236533099
CAB,4,k5,-0.00014547377025645643,0.0001816210298026747
CAB,4,KS,0.7524643387361246,0.8519403071233776
CAB,4,KP,0.0025739432850530168,0.031416169377947355
CAB,4,KN,2.691641672665467e-05,0.0030855569984139103
CAB,4,kmenos4,0.0012623850089654865,0.005651693921094874
CAB,5,k2,0.13683257524702538,0.23318196364828137
CAB,5,k3,0.00034139662240757697,0.0056010921243493045
CAB,5,k4,-0.0002783421211680357,0.005011663772777162
CAB,5,k5,-0.00023292274212291397,0.00026583584223397475
CAB,5,KS,0.7270465638928089,0.8282269435302635
CAB,5,KP,0.006329900779604575,0.043243852989232584
CAB,5,KN,0.0002058938661444547,0.004539865151844306
CAB,5,kmenos4,0.0021531029816993933,0.008113283127350874
CAB,6,k2,0.1474087214023403,0.24311850510692387
CAB,6,k3,0.00046467822691276814,0.007436118945999187
CAB,6,k4,-6.076323386693369e-05,0.007011451637513049
CAB,6,k5,-0.0003286031232607477,0.00035846615718223093
CAB,6,KS,0.702127835413067,0.8050261668482651
CAB,6,KP,0.010863595229764005,0.05569008559124158
CAB,6,KN,0.0004116130383335745,0.0062394093935681455
CAB,6,kmenos4,0.0031996661582230023,0.011026184731165808
CAB,7,k2,0.1561662654247238,0.2516257044896404
CAB,7,k3,0.0006502301365002605,0.009481608342646396
CAB,7,k4,0.00023402085147339322,0.009401981785308808
CAB,7,k5,-0.0004282187481508294,0.00045793413296503987
CAB,7,KS,0.6774187587620455,0.782425147475355
CAB,7,KP,0.016085030775764463,0.06896678337170532
CAB,7,KN,0.0006303572385149775,0.008200902294464936
CAB,7,kmenos4,0.004391133968028862,0.014409304655332337
CAB,8,k2,0.1633305167454722,0.25885717623441346
CAB,8,k3,0.0009382290183714087,0.011865452633124716
CAB,8,k4,0.0006065740585312411,0.012246818863747152
CAB,8,k5,-0.0005245604764315357,0.0005652496576996664
CAB,8,KS,0.652652551360854,0.7604807324643875
CAB,8,KP,0.02186282341713773,0.08342110812542718
CAB,8,KN,0.0008465611668759073,0.010434430494448659
CAB,8,kmenos4,0.005709525829766617,0.018296339379578423
CAB,9,k2,0.16899398235733165,0.2648949415570027
CAB,9,k3,0.0013387364139409422,0.014983266151057996
CAB,9,k4,0.001035932524609515,0.0156097181695967
CAB,9,k5,-0.0006152142528592649,0.0006815935409229191
CAB,9,KS,0.627734643345929,0.7392097361189974
CAB,9,KP,0.028086932407301386,0.09915487449039599
CAB,9,KN,0.0010665315657287014,0.012963236871593222
CAB,9,kmenos4,0.007137618106865497,0.02270067080005221
CAB,10,k2,0.17324636721011544,0.2697872897256542
CAB,10,k3,0.0017951951487054252,0.01919117757217972
CAB,10,k4,0.0015255642275800614,0.01953356101824571
CAB,10,k5,-0.0006995264052045005,0.0008025211939072986
CAB,10,KS,0.6026292027392506,0.7186229495742745
CAB,10,KP,0.034608203067553446,0.11611837699592846
CAB,10,KN,0.0012930158953652759,0.01580643889060682
CAB,10,kmenos4,0.008654468618622702,0.02763195157199134
CAB,11,k2,0.176228988780575,0.27363704905146957
CAB,11,k3,0.0022468906266797724,0.024259270775498155
CAB,11,k4,0.002069605240114076,0.024030875456528305
CAB,11,k5,-0.0007766114040719764,0.0009256798237935646
