output,parameter,S1,ST
CAB,KN,0.011460598647259644,0.29880880373215374
CAB,KP,0.08861104719933122,0.5143009207769949
CAB,KS,0.13717584184705894,0.5564128469232915
CAB,k2,0.06946425101247894,0.3329747884642009
CAB,k3,0.018661796868820454,0.1804890347527472
CAB,k4,0.013221129799431781,0.06143137177091082
CAB,k5,-0.0001035180260269687,0.0013854522528414326
CAB,kmenos4,0.01947405375321659,0.25437306398214665
CAN,KN,0.14275106352686015,0.23207990233514256
CAN,KP,0.025626727449393136,0.055041010266044195
CAN,KS,0.1455491542120751,0.256532369867965
CAN,k2,0.12343751379826182,0.20149976940220032
CAN,k3,0.09816585299295014,0.19002722385605353
CAN,k4,0.13090995882173667,0.2492573482038144
CAN,k5,0.0014304445339440117,0.03529645579740794
CAN,kmenos4,0.020066242502989898,0.05892227991797193
CAOH,KN,0.02672977549433278,0.3027059006488091
CAOH,KP,0.07438184404097598,0.4883413661777215
CAOH,KS,0.10322992826672524,0.5410025455905998
CAOH,k2,0.04818709196953305,0.30521939763678774
CAOH,k3,0.027783236051957535,0.1961861097500197
CAOH,k4,0.03429726394490451,0.09537098989454462
CAOH,k5,-0.0007493191776263977,0.002349133749971193
CAOH,kmenos4,0.011179320073444798,0.23927554106129048
CNH,KN,0.14275106352686015,0.23207990233514256
CNH,KP,0.025626727449393125,0.055041010266044195
CNH,KS,0.1455491542120751,0.256532369867965
CNH,k2,0.12343751379826182,0.20149976940220032
CNH,k3,0.09816585299295014,0.19002722385605353
CNH,k4,0.1309099588217367,0.2492573482038144
CNH,k5,0.0014304445339440159,0.035296455797407936
CNH,kmenos4,0.020066242502989905,0.05892227991797192
