initial_condition,time,output,parameter,S1,ST
80_60,0,0,k2,,
80_60,0,0,k3,,
80_60,0,0,k4,,
80_60,0,0,k5,,
80_60,0,0,KS,,
80_60,0,0,KP,,
80_60,0,0,KN,,
80_60,0,0,k-4,,
80_60,0,1,k2,,
80_60,0,1,k3,,
80_60,0,1,k4,,
80_60,0,1,k5,,
80_60,0,1,KS,,
80_60,0,1,KP,,
80_60,0,1,KN,,
80_60,0,1,k-4,,
80_60,0,2,k2,,
80_60,0,2,k3,,
80_60,0,2,k4,,
80_60,0,2,k5,,
80_60,0,2,KS,,
80_60,0,2,KP,,
80_60,0,2,KN,,
80_60,0,2,k-4,,
80_60,0,3,k2,,
80_60,0,3,k3,,
80_60,0,3,k4,,
80_60,0,3,k5,,
80_60,0,3,KS,,
80_60,0,3,KP,,
80_60,0,3,KN,,
80_60,0,3,k-4,,
80_60,1,0,k2,0.05810797897265706,0.1721611737228362
80_60,1,0,k3,-0.00020548297116990935,0.0002453297421287073
80_60,1,0,k4,-0.00015058577307844608,0.0001911633810897556
80_60,1,0,k5,-2.7686871845201118e-05,1.7096895067729502e-05
80_60,1,0,KS,0.8262193710777043,0.9268161023284512
80_60,1,0,KP,-0.0039035318067453632,0.00877775856150211
80_60,1,0,KN,-0.0002360012525560152,0.00021303442572680672
80_60,1,0,k-4,-0.0004938354304333475,0.001334218288404855
80_60,1,1,k2,0.057419083925514446,0.1570175267330802
80_60,1,1,k3,0.0070316492160368395,0.019949082371693332
80_60,1,1,k4,0.012006994563724876,0.06825912280836553
80_60,1,1,k5,0.0004371489591104138,0.00045305396512356107
80_60,1,1,KS,0.7358077867132246,0.8747340367342683
80_60,1,1,KP,-0.0031572050513646024,0.002589866104761766
80_60,1,1,KN,0.0037600449032707105,0.01731211097038287
80_60,1,1,k-4,-0.00027803829142224596,0.00047944280507481726
80_60,1,2,k2,0.057419083925514466,0.15701752673308023
80_60,1,2,k3,0.00703164921603684,0.019949082371693332
80_60,1,2,k4,0.01200699456372487,0.0682591228083655
80_60,1,2,k5,0.00043714895911040676,0.00045305396512356063
80_60,1,2,KS,0.7358077867132246,0.8747340367342683
80_60,1,2,KP,-0.003157205051364603,0.0025898661047617675
80_60,1,2,KN,0.003760044903270758,0.017312110970382877
80_60,1,2,k-4,-0.0002780382914222417,0.00047944280507481726
80_60,1,3,k2,0.03297501120843441,0.24039438173224276
80_60,1,3,k3,0.003075655271237222,0.0725807932388525
80_60,1,3,k4,0.02240226764508701,0.2778111589661372
80_60,1,3,k5,-0.000162087666764938,0.001503642202707606
80_60,1,3,KS,0.6713031516764378,0.9668610620840349
80_60,1,3,KP,0.0009317675072453568,0.025047051792660216
80_60,1,3,KN,0.004075199374387107,0.06967331052982521
80_60,1,3,k-4,-0.00038786672495505167,0.0032482877897478716
80_60,2,0,k2,0.08970210340425418,0.1927696034076618
80_60,2,0,k3,-2.038677482296563e-05,0.0009167217663732975
80_60,2,0,k4,-0.0005537665732164545,0.0009026393850133519
80_60,2,0,k5,-3.390333508833791e-05,6.989723020107817e-05
80_60,2,0,KS,0.8001645828380254,0.8993210377980996
80_60,2,0,KP,-0.0017234703181827195,0.019512355847618807
80_60,2,0,KN,-0.0004778540005100756,0.0009996243018027724
80_60,2,0,k-4,-0.00038940544957477303,0.002914591677656097
80_60,2,1,k2,0.08383462344168838,0.19127695400321687
80_60,2,1,k3,0.008638746054499128,0.02425647831578885
80_60,2,1,k4,0.02134754232371863,0.07977957756506186
80_60,2,1,k5,0.0006520791709005332,0.0006666698018859653
80_60,2,1,KS,0.7141569278619374,0.8449689592837359
80_60,2,1,KP,-0.0027789055565283463,0.005698073220061375
80_60,2,1,KN,0.0031987090687058723,0.020437843124179948
80_60,2,1,k-4,-0.0002472024568604315,0.0009543385962565208
80_60,2,2,k2,0.08383462344168838,0.19127695400321684
80_60,2,2,k3,0.008638746054499146,0.02425647831578885
80_60,2,2,k4,0.021347542323718608,0.07977957756506185
